"BUYORDERS.APIKEY"|"BUYORDERS.YEAR"|"BUYORDERS.MONTH"|"BUYORDERS.DAY"|"BUYORDERS.TOTAL"|"BUYORDERS.BUYORDERITEMS"|"BUYORDERS.PAYMENTTYPE"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"17854","price":"1146.65","sku":"35408","specs":"{"Cor":"Branco"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"18188","price":"58.65","sku":"36207","specs":"{"Cor":"Transparente"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"14030","price":"1019.15","sku":"28082","specs":"{"Cor":"Branco"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"14071","price":"143.65","sku":"28123","specs":"{"Cor":"Preto"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"17576","price":"2081.65","sku":"34890","specs":"{"Cor":"Branco"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"14082","price":"101.15","sku":"28134","specs":"{"Cor":"Transparente"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"17579","price":"1019.15","sku":"34893","specs":"{"Cor":"Azul"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"17854","price":"1146.65","sku":"35408","specs":"{"Cor":"Branco"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"18188","price":"58.65","sku":"36207","specs":"{"Cor":"Transparente"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"17854","price":"1146.65","sku":"35407","specs":"{"Cor":"Azul"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"18188","price":"58.65","sku":"36207","specs":"{"Cor":"Transparente"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"17854","price":"1146.65","sku":"35407","specs":"{"Cor":"Azul"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"18188","price":"58.65","sku":"36207","specs":"{"Cor":"Transparente"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"7499","price":"5248.95","sku":"13632","specs":"{"Cor":"Branco"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"18419","price":"539.9","sku":"36654","specs":"{"Cor":"Preto"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"bangushopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"14032","price":"1954.15","sku":"28084","specs":"{"Cor":"Azul"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"14071","price":"143.65","sku":"28123","specs":"{"Cor":"Preto"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"cariocashopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"18459","price":"55.99","sku":"37000","specs":"{"Cor":"Azul Claro","Tamanho":"G"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"cariocashopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"18946","price":"133.33","sku":"38322","specs":"{"Cor":"Azul Marinho","Tamanho":"37"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"11721","price":"166.65","sku":"23551","specs":"{"Cor":"Preto","Tamanho":"36"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"cariocashopping"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"7388","price":"125.45","sku":"13422","specs":"{"Cor":"Preto","Voltagem":"220v"}"},"quantity":"2.0","tags":"[]"},{"product":{"id":"11094","price":"67.73","sku":"22580","specs":"{"Cor":"Vermelho","Voltagem":"220v"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"12723","price":"2.25","sku":"26210","specs":"{}"},"quantity":"7.0","tags":"[]"}]"|"NULL"
"parquedpedro"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"50313","price":"106.52","sku":"88846","specs":"{"Cor":"Laranja","Tamanho":"35"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"50313","price":"106.52","sku":"88855","specs":"{"Cor":"Laranja","Tamanho":"38"}"},"quantity":"2.0","tags":"[]"},{"product":{"id":"50082","price":"131.12","sku":"88207","specs":"{"Cor":"Preto","Tamanho":"33/34"}"},"quantity":"1.0","tags":"[]"},{"product":{"id":"34818","price":"81.92","sku":"88215","specs":"{"Cor":"Vermelho","Tamanho":"39/40"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"parquedpedro"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"39429","price":"379.99","sku":"69116","specs":"{"Voltagem":"220V"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
"parquedpedro"|"2022"|"12"|"1"|"NULL"|"[{"product":{"id":"37667","price":"91.9","sku":"41933","specs":"{"Cor":"Rosa"}"},"quantity":"1.0","tags":"[]"}]"|"NULL"
